playerID,teamID,age,points,nameFirst,nameLast
morgael01,CLE,26.0,202.56622,Eli,Morgan
chacijh01,COL,34.0,202.51672,Jhoulys,Chacin
scottta01,BAL,28.0,201.91351,Tanner,Scott
cimbead01,TOR,32.0,200.81087,Adam,Cimber
okertst01,MIA,31.0,198.93517,Steven,Okert
klubeco01,TBA,36.0,196.83195,Corey,Kluber
walketa01,NYN,30.0,196.09183,Taijuan,Walker
santito01,CIN,25.0,196.07301,Tony,Santillan
sandopa02,LAA,26.0,194.11885,Patrick,Sandoval
stanery01,HOU,31.0,193.974,Ryne,Stanek
ramirno01,ARI,33.0,192.02747,Noe,Ramirez
frypa01,BAL,30.0,191.81467,Paul,Fry
cobbal01,SFN,35.0,191.25374,Alex,Cobb
lametdi01,SDN,30.0,191.19012,Dinelson,Lamet
wislema01,TBA,30.0,190.54372,Matt,Wisler
yarbrry01,TBA,31.0,189.41492,Ryan,Yarbrough
bumgama01,ARI,33.0,189.3646,Madison,Bumgarner
lopezjo02,BAL,29.0,188.32784,Jorge,Lopez
peralwa01,NYA,31.0,187.3766,Wandy,Peralta
stephro01,COL,29.0,187.0798,Robert,Stephenson
mcfartj01,SLN,33.0,186.57248,T. J.,McFarland
thompza01,PIT,29.0,186.5397,Zach,Thompson
germado01,NYA,30.0,186.53491,Domingo,German
wachami01,BOS,31.0,184.1586,Michael,Wacha
rogerta01,MIN,32.0,183.64404,Taylor,Rogers
montera01,HOU,32.0,182.2384,Rafael,Montero
grayjo02,TEX,31.0,179.38734,Jon,Gray
antonte01,CIN,29.0,179.09189,Tejay,Antone
thompry02,TBA,30.0,178.64738,Ryan,Thompson
chargjt01,TBA,32.0,178.40393,J. T.,Chargois
bleieri01,MIA,35.0,177.61394,Richard,Bleier
turnbsp01,DET,30.0,177.26062,Spencer,Turnbull
bummeaa01,CHA,29.0,175.8391,Aaron,Bummer
bundydy01,MIN,30.0,174.14134,Dylan,Bundy
brasiry01,BOS,35.0,173.44717,Ryan,Brasier
ashbyaa01,MIL,24.0,173.24849,Aaron,Ashby
lugose01,NYN,33.0,173.13843,Seth,Lugo
willitr01,NYN,30.0,173.0484,Trevor,Williams
minormi01,KCA,35.0,172.97859,Mike,Minor
lopezre01,CHA,28.0,172.5934,Reynaldo,Lopez
clarkta01,KCA,29.0,171.46336,Taylor,Clarke
brubajt01,PIT,29.0,170.33551,JT,Brubaker
taylojo02,BOS,29.0,169.94423,Josh,Taylor
estevca01,COL,30.0,169.07202,Carlos,Estevez
heuerco01,CHN,26.0,168.3075,Codi,Heuer
pomerdr01,SDN,34.0,166.89325,Drew,Pomeranz
jimenjo02,DET,27.0,166.6157,Joe,Jimenez
langeal01,DET,27.0,165.43839,Alex,Lange
corbipa01,WAS,33.0,165.08023,Patrick,Corbin
hoffmje02,CIN,29.0,164.76836,Jeff,Hoffman
smithca03,ARI,31.0,164.58585,Caleb,Smith
burrry01,CHA,28.0,164.20125,Ryan,Burr
steelju01,CHN,27.0,162.87321,Justin,Steele
minteaj01,ATL,29.0,162.768,A. J.,Minter
salech01,BOS,33.0,162.48245,Chris,Sale
raineta01,WAS,30.0,162.42772,Tanner,Rainey
hearnta01,TEX,28.0,162.25975,Taylor,Hearn
cottojh01,MIN,30.0,160.805,Jharel,Cotton
garzara01,MIN,28.0,159.77417,Ralph,Garza
sandlni01,CLE,25.0,158.49365,Nick,Sandlin
mantijo01,ARI,31.0,158.0765,Joe,Mantiply
wendejb01,ARI,29.0,157.1156,J. B.,Wendelken
dunnida01,TEX,28.0,157.09619,Dane,Dunning
whitlko01,SLN,27.0,155.78806,Kodi,Whitley
luzarje01,MIA,25.0,154.32367,Jesus,Luzardo
machaan02,WAS,29.0,154.1287,Andres,Machado
sheffjo01,COL,27.0,154.1063,Jordan,Sheffield
brittza01,NYA,35.0,153.41133,Zack,Britton
akinke01,BAL,27.0,153.2153,Keegan,Akin
harriwi02,WAS,38.0,152.03235,Will,Harris
underdu01,PIT,28.0,151.65427,Duane,Underwood
falteba01,PHI,25.0,151.26656,Bailey,Falter
hernael01,MIA,27.0,150.22458,Elieser,Hernandez
carraca01,NYN,35.0,149.50826,Carlos,Carrasco
valdeph01,BOS,31.0,148.8867,Phillips,Valdez
maydu01,LAN,25.0,148.68716,Dustin,May
rasmudr01,TBA,27.0,148.04054,Drew,Rasmussen
helslry01,SLN,28.0,147.5347,Ryan,Helsley
cortene01,NYA,28.0,146.89539,Nestor,Cortes
santade01,TEX,26.0,146.88354,Dennis,Santana
cousija01,MIL,28.0,145.70676,Jake,Cousins
misiean01,SEA,28.0,144.60568,Anthony,Misiewicz
payamjo01,KCA,28.0,144.58429,Joel,Payamps
jacksja01,ATL,35.0,144.56345,Jay,Jackson
abreual01,NYA,27.0,144.07208,Albert,Abreu
popza01,MIA,26.0,143.89917,Zach,Pop
kellebr01,KCA,27.0,142.11185,Brad,Keller
smithdr01,NYN,29.0,141.29427,Drew,Smith
strasst01,WAS,34.0,140.8695,Stephen,Strasburg
hollojo01,MIA,26.0,140.56015,Jordan,Holloway
quintjo01,PIT,33.0,139.09306,Jose,Quintana
wickro01,CHN,30.0,138.73505,Rowan,Wick
perdoan01,MIL,28.0,136.80293,Angel,Perdomo
dunnju01,SEA,27.0,136.02036,Justin,Dunn
